time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.500 1700 0.083 0.083 1700 0.203 0.203 1700 0.046 0.046 1700 0.017 0.017 1700 0.349 0.203 0.349 0.203
1.000 900 0.106 0.191 900 0.102 0.102 900 0.031 0.039 900 0.008 0.008 900 0.247 0.106 0.340 0.191
1.500 768 0.106 0.227 768 0.112 0.177 768 0.059 0.112 768 0.065 0.187 768 0.342 0.112 0.704 0.227
2.000 768 0.105 0.230 768 0.084 0.133 768 0.044 0.084 768 0.049 0.141 768 0.282 0.105 0.587 0.230
2.500 768 0.101 0.246 768 0.037 0.091 768 0.062 0.168 768 0.077 0.223 768 0.278 0.101 0.728 0.246
3.000 768 0.106 0.438 768 0.037 0.091 768 0.058 0.160 768 0.081 0.241 768 0.283 0.106 0.930 0.438
3.500 768 0.114 0.462 768 0.061 0.292 768 0.048 0.141 768 0.066 0.183 768 0.289 0.114 1.078 0.462
4.000 768 0.118 0.477 768 0.061 0.292 768 0.048 0.141 768 0.066 0.183 768 0.293 0.118 1.093 0.477
4.500 768 0.137 0.530 768 0.066 0.304 768 0.040 0.128 768 0.055 0.160 768 0.298 0.137 1.122 0.530
5.000 768 0.112 0.318 768 0.094 0.429 768 0.056 0.177 768 0.051 0.142 768 0.313 0.112 1.066 0.429
5.500 768 0.121 0.417 768 0.055 0.186 768 0.101 0.499 768 0.060 0.209 768 0.337 0.121 1.311 0.499
6.000 768 0.110 0.386 768 0.055 0.186 768 0.101 0.504 768 0.060 0.209 768 0.327 0.110 1.286 0.504
6.500 768 0.085 0.328 768 0.052 0.180 768 0.100 0.472 768 0.062 0.201 768 0.300 0.100 1.180 0.472
7.000 768 0.090 0.314 768 0.041 0.102 768 0.107 0.510 768 0.076 0.299 768 0.315 0.107 1.225 0.510
7.500 768 0.100 0.406 768 0.044 0.143 768 0.051 0.158 768 0.075 0.371 768 0.269 0.100 1.077 0.406
8.000 768 0.100 0.406 768 0.046 0.149 768 0.055 0.161 768 0.075 0.371 768 0.276 0.100 1.086 0.406
8.500 768 0.101 0.408 768 0.056 0.177 768 0.044 0.130 768 0.072 0.359 768 0.273 0.101 1.074 0.408
9.000 768 0.114 0.518 768 0.066 0.259 768 0.027 0.060 768 0.066 0.297 768 0.273 0.114 1.134 0.518
9.500 768 0.109 0.406 768 0.067 0.233 768 0.049 0.146 768 0.050 0.136 768 0.275 0.109 0.920 0.406
10.000 768 0.098 0.380 768 0.065 0.227 768 0.056 0.162 768 0.054 0.145 768 0.273 0.098 0.914 0.380
10.500 768 0.097 0.378 768 0.056 0.209 768 0.048 0.144 768 0.062 0.177 768 0.263 0.097 0.907 0.378
11.000 768 0.124 0.491 768 0.089 0.244 768 0.097 0.328 768 0.098 0.327 768 0.408 0.124 1.389 0.491
11.500 768 0.098 0.382 768 0.088 0.239 768 0.107 0.340 768 0.123 0.526 768 0.415 0.123 1.487 0.526
12.000 768 0.100 0.387 768 0.091 0.252 768 0.099 0.340 768 0.119 0.517 768 0.408 0.119 1.495 0.517
12.500 768 0.114 0.415 768 0.095 0.255 768 0.107 0.359 768 0.102 0.465 768 0.417 0.114 1.494 0.465
13.000 768 0.070 0.178 768 0.055 0.146 768 0.051 0.159 768 0.103 0.549 768 0.279 0.103 1.032 0.549
13.500 768 0.100 0.445 768 0.060 0.184 768 0.023 0.070 768 0.072 0.327 768 0.255 0.100 1.025 0.445
14.000 768 0.105 0.456 768 0.066 0.195 768 0.031 0.069 768 0.088 0.370 768 0.291 0.105 1.090 0.456
14.500 768 0.104 0.449 768 0.054 0.167 768 0.027 0.060 768 0.087 0.367 768 0.272 0.104 1.043 0.449
15.000 768 0.118 0.481 768 0.045 0.135 768 0.080 0.378 768 0.059 0.140 768 0.301 0.118 1.134 0.481
15.500 768 0.095 0.238 768 0.061 0.200 768 0.079 0.377 768 0.060 0.144 768 0.296 0.095 0.959 0.377
16.000 768 0.092 0.240 768 0.065 0.204 768 0.080 0.396 768 0.059 0.143 768 0.296 0.092 0.983 0.396
16.500 768 0.092 0.240 768 0.065 0.204 768 0.081 0.398 768 0.054 0.132 768 0.291 0.092 0.974 0.398
17.000 768 0.114 0.305 768 0.087 0.320 768 0.124 0.823 768 0.062 0.159 768 0.388 0.124 1.607 0.823
17.500 768 0.107 0.272 768 0.052 0.182 768 0.153 0.948 768 0.075 0.283 768 0.388 0.153 1.684 0.948
18.000 768 0.106 0.261 768 0.047 0.170 768 0.147 0.919 768 0.069 0.263 768 0.369 0.147 1.613 0.919
18.500 768 0.098 0.243 768 0.057 0.193 768 0.151 0.929 768 0.068 0.260 768 0.374 0.151 1.625 0.929
19.000 768 0.122 0.380 768 0.070 0.170 768 0.110 0.387 768 0.097 0.347 768 0.399 0.122 1.284 0.387
19.500 768 0.132 0.464 768 0.097 0.298 768 0.086 0.273 768 0.079 0.211 768 0.394 0.132 1.246 0.464
20.000 768 0.141 0.514 768 0.099 0.304 768 0.087 0.273 768 0.072 0.193 768 0.399 0.141 1.284 0.514
20.500 768 0.142 0.516 768 0.091 0.286 768 0.085 0.268 768 0.069 0.186 768 0.386 0.142 1.256 0.516
21.000 768 0.139 0.675 768 0.097 0.327 768 0.088 0.229 768 0.036 0.086 768 0.360 0.139 1.317 0.675
21.500 768 0.125 0.591 768 0.080 0.228 768 0.097 0.276 768 0.063 0.247 768 0.366 0.125 1.342 0.591
22.000 768 0.112 0.532 768 0.084 0.241 768 0.097 0.276 768 0.068 0.266 768 0.362 0.112 1.315 0.532
22.500 768 0.111 0.530 768 0.084 0.241 768 0.091 0.261 768 0.072 0.275 768 0.359 0.111 1.307 0.530
23.000 768 0.109 0.282 768 0.097 0.461 768 0.074 0.258 768 0.089 0.373 768 0.369 0.109 1.374 0.461
23.500 768 0.122 0.323 768 0.098 0.458 768 0.076 0.247 768 0.073 0.288 768 0.368 0.122 1.315 0.458
24.000 768 0.122 0.323 768 0.088 0.432 768 0.077 0.253 768 0.069 0.272 768 0.356 0.122 1.280 0.432
24.500 768 0.115 0.307 768 0.090 0.435 768 0.081 0.263 768 0.069 0.272 768 0.354 0.115 1.277 0.435
25.000 768 0.127 0.509 768 0.053 0.136 768 0.085 0.232 768 0.070 0.330 768 0.334 0.127 1.207 0.509
25.500 768 0.110 0.450 768 0.055 0.139 768 0.080 0.217 768 0.075 0.309 768 0.321 0.110 1.114 0.450
26.000 768 0.119 0.468 768 0.055 0.139 768 0.105 0.372 768 0.083 0.331 768 0.362 0.119 1.310 0.468
26.500 768 0.119 0.468 768 0.059 0.148 768 0.110 0.381 768 0.081 0.327 768 0.369 0.119 1.324 0.468
27.000 768 0.108 0.530 768 0.084 0.242 768 0.096 0.341 768 0.099 0.442 768 0.387 0.108 1.555 0.530
27.500 768 0.102 0.512 768 0.086 0.274 768 0.103 0.350 768 0.083 0.401 768 0.374 0.103 1.536 0.512
28.000 768 0.103 0.518 768 0.082 0.271 768 0.103 0.473 768 0.080 0.387 768 0.367 0.103 1.649 0.518
28.500 768 0.095 0.500 768 0.076 0.260 768 0.097 0.461 768 0.085 0.397 768 0.354 0.097 1.618 0.500
29.000 768 0.098 0.299 768 0.056 0.176 768 0.150 1.324 768 0.044 0.110 768 0.348 0.150 1.909 1.324
29.500 768 0.118 0.357 768 0.041 0.118 768 0.131 1.282 768 0.047 0.112 768 0.337 0.131 1.869 1.282
30.000 768 0.134 0.662 768 0.050 0.134 768 0.102 0.991 768 0.048 0.120 768 0.335 0.134 1.906 0.991
